======================================
Screen run started: Wed Jul  1 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-01 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] TMCV.NS: 155 trading days loaded (2025-11-12 → 2026-06-30)
[kite_fetcher] DEEPAKFERT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NHPC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CUMMINSIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] GODIGIT.NS: 521 trading days loaded (2024-05-23 → 2026-06-30)
[kite_fetcher] AMBER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MUTHOOTFIN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] OLECTRA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ALKEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RECLTD.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DOMS.NS: 625 trading days loaded (2023-12-20 → 2026-06-30)
[kite_fetcher] CIEINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NCC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AXISBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] M&MFIN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] J&KBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SHRIRAMFIN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ITI.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PREMIERENE.NS: 451 trading days loaded (2024-09-03 → 2026-06-30)
[kite_fetcher] HSCL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] RAMCOCEM.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ABLBL.NS: 252 trading days loaded (2025-06-23 → 2026-06-30)
[kite_fetcher] UNIONBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PIDILITIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AADHARHFC.NS: 527 trading days loaded (2024-05-15 → 2026-06-30)
[kite_fetcher] JSWENERGY.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ABCAPITAL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IKS.NS: 377 trading days loaded (2024-12-19 → 2026-06-30)
[kite_fetcher] POLYCAB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] INOXWIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ERIS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SONATSOFTW.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AUBANK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TATAPOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BIOCON.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BANDHANBNK.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LUPIN.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
