date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-06-18,WHIRLPOOL.NS,HOLD,807.5000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,SIEMENS.NS,HOLD,3746.1000,,,76953.97,98287.27,-1.7127,,3366.0000,,
2026-06-18,BAJAJ-AUTO.NS,HOLD,10095.0000,,,76953.97,98287.27,-1.7127,,9761.6102,,
2026-06-18,HCLTECH.NS,HOLD,1159.4000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,COLPAL.NS,HOLD,2022.8000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,ANURAS.NS,HOLD,1287.0000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,HEROMOTOCO.NS,HOLD,5025.0000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,NEWGEN.NS,HOLD,487.8000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,JKTYRE.NS,HOLD,397.2000,,,76953.97,98287.27,-1.7127,,,,
2026-06-18,BSOFT.NS,HOLD,324.6000,,,76953.97,98287.27,-1.7127,,,,
2026-06-19,WHIRLPOOL.NS,HOLD,795.0000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,SIEMENS.NS,HOLD,3762.8000,,,76953.97,98322.37,-1.6776,,3366.0000,,
2026-06-19,BAJAJ-AUTO.NS,HOLD,10080.0000,,,76953.97,98322.37,-1.6776,,9766.7637,,
2026-06-19,HCLTECH.NS,HOLD,1136.0000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,COLPAL.NS,HOLD,2002.0000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,ANURAS.NS,HOLD,1283.0000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,HEROMOTOCO.NS,HOLD,4984.9000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,NEWGEN.NS,HOLD,487.0000,,,76953.97,98322.37,-1.6776,,,,
2026-06-19,JKTYRE.NS,HOLD,400.2000,,,76953.97,98322.37,-1.6776,,,,
